customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
CUST_STB_4149,34,Female,Semi-Urban,69944,26168,471024,0.49,3,63,26,1,37574,45935,235467,22,stable
CUST_STB_7842,34,Female,Semi-Urban,99913,46027,598351,0.46,2,49,28,2,5099,10153,79410,16,stable
CUST_DEC_179,55,Female,Semi-Urban,46475,27221,462757,0.76,3,28,55,4,17410,38423,102536,9,decrease
CUST_STB_4195,29,Male,Urban,140550,68627,960778,0.44,1,64,22,1,44165,45653,184998,15,stable
CUST_STB_8410,50,Male,Rural,28914,10705,139165,0.48,3,50,20,2,14284,35438,125257,19,stable
CUST_RND_726,32,Male,Urban,119824,1249,241903,0.38,7,79,38,8,59023,43540,348863,8,increase
CUST_STB_2509,41,Male,Rural,44007,16434,213642,0.46,4,57,11,1,26593,20084,70971,16,stable
CUST_DEC_2160,35,Female,Semi-Urban,27683,20377,244524,0.89,2,34,50,3,45179,10953,150931,6,decrease
CUST_INC_4319,64,Male,Urban,50123,2304,18432,0.23,3,92,1,1,17342,31496,364580,32,increase
CUST_STB_2906,44,Male,Urban,85832,35919,646542,0.48,1,62,21,1,10679,39380,368966,21,stable
CUST_STB_8359,24,Female,Semi-Urban,68327,27409,191863,0.42,4,57,14,2,7138,3835,96115,16,stable
CUST_STB_3317,29,Female,Rural,28299,12810,179340,0.48,3,56,14,2,12959,3196,86331,12,stable
CUST_STB_7485,47,Male,Urban,86272,30626,214382,0.43,4,61,16,2,49801,15344,249376,13,stable
CUST_DEC_645,27,Female,Semi-Urban,51585,45485,1410035,0.9,4,43,62,7,23484,7793,78820,9,decrease
CUST_STB_12519,33,Male,Semi-Urban,81122,31939,223573,0.45,2,48,20,2,28279,25944,128215,24,stable
CUST_DEC_4584,32,Female,Urban,112481,81964,2950704,0.86,1,9,44,3,47544,18236,183386,7,decrease
CUST_INC_3698,43,Male,Rural,50186,9032,18064,0.1,3,94,6,1,34250,33025,138029,27,increase
CUST_STB_8242,62,Male,Rural,61846,23155,208395,0.48,2,49,22,2,6696,33124,173641,20,stable
CUST_STB_8980,37,Male,Semi-Urban,78507,35287,423444,0.43,2,58,21,1,17476,24724,92330,17,stable
CUST_STB_9684,21,Male,Urban,49013,19880,258440,0.47,3,46,14,1,49118,10877,367833,12,stable
CUST_STB_12918,51,Male,Semi-Urban,85149,33073,463022,0.48,1,51,21,2,20950,12003,220382,18,stable
CUST_INC_2473,34,Male,Semi-Urban,77776,4304,12912,0.22,2,93,1,1,45065,21106,90708,28,increase
CUST_STB_9110,27,Male,Semi-Urban,76229,35411,247877,0.49,1,45,25,2,31711,45854,127994,18,stable
CUST_STB_12045,57,Male,Urban,50518,20699,124194,0.43,3,57,23,1,10496,39292,175619,15,stable
CUST_STB_10280,52,Female,Urban,69939,24489,146934,0.46,1,59,16,2,45406,20584,352878,24,stable
CUST_RND_1146,60,Male,Rural,60029,91269,161359,0.22,1,45,23,3,88339,57542,124224,30,stable
CUST_DEC_4713,22,Male,Rural,41932,34842,836208,0.9,2,27,50,4,30616,42637,127599,6,decrease
CUST_RND_1420,51,Male,Rural,112111,49181,218680,0.08,4,4,47,5,61419,21193,225284,15,stable
CUST_STB_8642,47,Male,Urban,42127,19261,250393,0.43,4,46,24,1,40549,40004,298943,13,stable
CUST_STB_11956,37,Female,Rural,25639,12196,182940,0.46,3,62,12,2,45027,21701,117324,23,stable
CUST_STB_2741,38,Female,Rural,70388,30912,340032,0.44,2,64,11,1,18844,645,130391,24,stable
CUST_STB_1490,29,Male,Rural,31584,11701,175515,0.42,1,64,27,1,15015,16628,52106,13,stable
CUST_STB_8957,59,Female,Urban,90385,35619,320571,0.41,3,53,17,1,40015,33070,311360,13,stable
CUST_RND_1542,48,Male,Semi-Urban,41259,39794,475788,0.67,4,94,37,3,58201,45914,180146,1,decrease
CUST_DEC_2387,34,Female,Urban,61010,33833,1116489,1.0,4,9,83,3,38533,21097,293943,12,decrease
CUST_STB_7179,47,Male,Urban,41477,17436,244104,0.48,3,59,28,2,34089,9453,340236,19,stable
CUST_DEC_235,32,Male,Urban,59902,41925,1215825,0.95,4,12,46,4,48700,12852,240592,10,decrease
CUST_DEC_4298,41,Female,Urban,56355,49091,785456,0.76,1,43,44,3,22120,14798,159676,6,decrease
CUST_STB_11683,51,Male,Urban,86318,41463,497556,0.43,4,60,17,1,47757,25902,252116,12,stable
CUST_STB_7800,59,Male,Semi-Urban,29839,12802,102416,0.42,1,45,11,2,19752,21892,161175,20,stable
CUST_STB_2596,49,Female,Urban,43669,17674,229762,0.47,3,63,18,2,5187,32270,179918,16,stable
CUST_STB_6966,58,Male,Rural,52448,20023,240276,0.5,3,54,29,1,22720,2470,157912,22,stable
CUST_DEC_2756,43,Female,Urban,89315,66443,996645,0.71,2,27,34,7,10357,49751,238248,6,decrease
CUST_STB_2727,62,Female,Urban,123620,50381,755715,0.49,3,58,29,1,22096,36423,224343,24,stable
CUST_STB_10129,24,Female,Urban,133126,51280,717920,0.48,4,51,12,1,26698,2318,130355,19,stable
CUST_INC_4830,51,Male,Semi-Urban,29255,1898,15184,0.29,3,85,9,1,44632,33805,220230,24,increase
CUST_STB_5800,33,Female,Urban,118071,57508,747604,0.45,3,46,23,1,11543,14348,295979,16,stable
CUST_STB_5007,46,Female,Urban,115466,44941,494351,0.5,2,46,23,1,46948,25993,265506,13,stable
CUST_INC_5009,50,Female,Semi-Urban,96076,7536,60288,0.27,1,96,3,0,36976,14382,214861,36,increase
CUST_STB_12916,34,Female,Rural,23397,11150,133800,0.48,2,55,14,2,21076,8259,164447,15,stable
CUST_INC_2413,43,Female,Urban,133913,22315,178520,0.2,3,92,7,1,14123,25572,143841,32,increase
CUST_STB_5765,59,Male,Semi-Urban,76855,35902,323118,0.45,4,45,21,2,14432,27374,207828,18,stable
CUST_DEC_1415,41,Male,Urban,78022,75096,1501920,0.76,4,13,76,6,18214,1025,331407,8,decrease
CUST_STB_12323,54,Female,Urban,131296,57470,344820,0.48,2,64,16,2,34051,8394,347509,16,stable
CUST_STB_6301,42,Male,Urban,125269,47645,524095,0.45,4,48,17,1,29041,20985,326282,17,stable
CUST_STB_8171,63,Female,Urban,98068,47207,472070,0.41,2,58,21,2,29915,20706,233107,22,stable
CUST_DEC_3076,37,Female,Semi-Urban,51556,41582,956386,0.74,3,41,40,4,39009,36266,107333,7,decrease
CUST_STB_7604,53,Female,Rural,38630,14457,260226,0.46,4,51,17,1,24883,49977,146884,24,stable
CUST_DEC_2279,41,Male,Semi-Urban,67205,55434,665208,0.96,3,22,73,4,24328,22762,152236,8,decrease
CUST_STB_3691,23,Male,Rural,71223,35125,562000,0.44,2,46,13,2,42993,26036,57530,16,stable
CUST_RND_1423,29,Male,Urban,87722,27281,405372,0.57,2,20,90,5,10094,12368,237541,26,stable
CUST_DEC_2,56,Male,Rural,48944,46338,1390140,0.86,2,14,52,4,31956,31641,57587,10,decrease
CUST_INC_4038,30,Male,Semi-Urban,28451,4574,22870,0.23,3,98,0,1,34890,18881,97664,24,increase
CUST_STB_8311,27,Female,Rural,33568,12692,139612,0.43,1,55,16,1,8188,31758,128042,22,stable
